complex_id,y_pred
3ao4,6.121472358703613
3arp,6.874504089355469
3arq,6.817560195922852
3aru,4.821961402893066
3arv,6.697118759155273
3ary,6.3553361892700195
3b1m,7.214600563049316
3b27,6.841364860534668
3b5r,8.088224411010742
3b65,6.9442853927612305
3b68,6.643301963806152
3bgz,7.405211448669434
3bv9,6.606802940368652
3cj4,6.151976585388184
3coy,5.483077049255371
3coz,5.435498237609863
3d4z,5.666271209716797
3d6q,4.427666664123535
3dd0,7.366861343383789
3dx1,4.459656238555908
3dx2,6.118594169616699
3dxg,4.9418206214904785
3e5a,7.469552993774414
3e92,7.759662628173828
3e93,8.247467994689941
3ebp,6.285744667053223
3ehy,6.320342063903809
3ejr,6.440930366516113
3f3a,6.130438804626465
3f3c,5.4128828048706055
3f3d,6.618355751037598
3f3e,5.905257225036621
3fcq,5.3982648849487305
3fur,8.382481575012207
3fv1,6.576908111572266
3fv2,6.298779487609863
3g0w,6.712407112121582
3g2n,4.42349100112915
3g2z,4.17741060256958
3g31,5.011799335479736
3gbb,6.5254669189453125
3gc5,6.639444351196289
3ge7,7.027283668518066
3gnw,8.493560791015625
3gr2,4.814045429229736
3gv9,5.402684211730957
3gy4,4.432379722595215
3ivg,6.602160453796387
3jvr,6.598345756530762
3jvs,7.212750434875488
3jya,6.7246551513671875
3k5v,7.149312973022461
3kgp,4.47707462310791
3kr8,7.625750541687012
3kwa,5.408369064331055
3l7b,4.732413291931152
3lka,5.139016151428223
3mss,5.42564582824707
3myg,7.2843732833862305
3n76,6.109838485717773
3n7a,4.3631110191345215
3n86,6.492929458618164
3nq9,4.836635589599609
3nw9,6.824692726135254
3nx7,6.14705753326416
3o9i,8.966690063476562
3oe4,6.834186553955078
3oe5,6.322139739990234
3ozs,5.779984474182129
3ozt,5.812103271484375
3p5o,6.68046760559082
3prs,6.972407341003418
3pww,7.1487836837768555
3pxf,5.1343584060668945
3pyy,7.280226707458496
3qgy,7.5773820877075195
3qqs,5.470189094543457
3r88,4.774874210357666
3rlr,7.927994728088379
3rr4,5.851840972900391
3rsx,5.659664154052734
3ryj,7.396782875061035
3syr,4.896614074707031
3tsk,6.743303298950195
3twp,3.720221996307373
3u5j,6.678370475769043
3u8k,8.128946304321289
3u8n,8.39889907836914
3u9q,5.628774642944336
3udh,6.113002777099609
3ueu,5.757082939147949
3uev,6.15261173248291
3uew,6.4689788818359375
3uex,7.115240097045898
3ui7,7.369843482971191
3uo4,7.3521270751953125
3up2,8.003083229064941
3uri,6.488367080688477
3utu,7.359637260437012
3uuo,7.241411209106445
3wtj,7.982190132141113
3wz8,6.785190582275391
3zdg,5.007316589355469
3zso,6.501703262329102
3zsx,5.325806617736816
3zt2,5.430168151855469
4abg,5.056498050689697
4agn,5.250078201293945
4agp,7.058489799499512
4agq,6.859063148498535
4bkt,5.1825103759765625
4cig,5.684757232666016
4ciw,4.825416088104248
4cr9,5.944576263427734
4cra,7.419833183288574
4crc,7.941563606262207
4ddh,5.5191240310668945
4ddk,3.8078556060791016
4de1,7.8318071365356445
4de2,7.553277969360352
4de3,6.869586944580078
4djv,7.19569206237793
4dld,5.8530778884887695
4dli,6.394854545593262
4e5w,6.660776138305664
4e6q,7.51705265045166
4ea2,7.395720481872559
4eky,5.4026055335998535
4eo8,6.472406387329102
4eor,6.506869316101074
4f09,6.863527297973633
4f2w,8.784341812133789
4f3c,7.018393516540527
4f9w,6.769737243652344
4gfm,6.9637651443481445
4gid,7.002041816711426
4gkm,5.38857889175415
4gr0,8.154507637023926
4hge,7.373720169067383
4ih5,6.274155616760254
4ih7,6.690298080444336
4ivb,8.65274429321289
4ivc,8.917421340942383
4ivd,8.364965438842773
4j21,7.8906450271606445
4j28,7.795078277587891
4j3l,7.8262128829956055
4jfs,7.520510673522949
4jia,7.908486366271973
4jsz,4.828461170196533
4jxs,7.068514823913574
4k18,7.413189888000488
4k77,6.444802284240723
4kz6,6.102855682373047
4kzq,6.298683166503906
4kzu,7.306164741516113
4llx,5.01278829574585
4lzs,4.756810188293457
4m0y,5.311190605163574
4m0z,6.345700263977051
4mgd,7.61822509765625
4mme,7.329287528991699
4ogj,7.044426918029785
4owm,4.085722923278809
4pcs,6.636463165283203
4qac,7.089250564575195
4qd6,7.010275840759277
4rfm,7.917488098144531
4tmn,5.914861679077148
4twp,7.905669212341309
4ty7,7.693264961242676
4u4s,4.869077205657959
4w9c,5.867135047912598
4w9h,6.521533966064453
4w9i,6.525561332702637
4w9l,6.902128219604492
4wiv,6.69378662109375
4x6p,7.731316566467285
5a7b,6.8847455978393555
5aba,5.463619232177734
5c28,5.684693336486816
5c2h,7.5228376388549805
5dwr,8.586125373840332
5tmn,5.877357482910156
